,zipcode,name,population,median_income,White,African American,gini_index,labor_participation,unemployment,poverty_rate
692,61603,ZCTA5 61603,16636,31785,7679,6538,0.4691,65.6,11.8,26.8
693,61604,ZCTA5 61604,30833,44943,20239,8753,0.4366,61.5,9.8,13.5
694,61605,ZCTA5 61605,15668,21730,5400,9140,0.5138,55.2,8.3,41.1
695,61606,ZCTA5 61606,7798,43304,5663,1342,0.5288,56.4,5.0,18.2
696,61607,ZCTA5 61607,11158,59637,10669,132,0.3455,65.4,1.4,3.5
697,61610,ZCTA5 61610,5532,47779,5339,25,0.3740,62.8,4.9,11.7
698,61611,ZCTA5 61611,25087,55536,23903,425,0.4389,63.5,3.8,5.6
699,61614,ZCTA5 61614,28305,60264,22495,2646,0.4412,63.1,5.2,6.4
700,61615,ZCTA5 61615,23422,68789,15709,3161,0.4703,64.5,8.6,6.6
701,61616,ZCTA5 61616,5972,45932,5276,353,0.4095,69.8,5.6,11.1
702,61625,ZCTA5 61625,361,-,327,17,-,53.7,-,-
703,61701,ZCTA5 61701,36080,43841,28782,4771,0.4854,65.4,7.5,14.6
704,61704,ZCTA5 61704,36734,87051,27660,2626,0.4339,71.2,2.3,4.8
705,61705,ZCTA5 61705,13206,105377,11470,1212,0.4054,72.5,0.8,6.1
706,61720,ZCTA5 61720,170,56250,170,0,0.3525,67.0,5.0,11.4
707,61721,ZCTA5 61721,623,69250,614,0,0.2660,71.5,4.4,3.1
708,61722,ZCTA5 61722,469,54091,448,0,0.4131,67.3,13.1,7.5
709,61723,ZCTA5 61723,2283,57708,2170,2,0.3631,66.0,5.5,2.7
710,61724,ZCTA5 61724,551,53021,542,0,0.4051,65.9,1.9,17.1
711,61725,ZCTA5 61725,1690,83008,1534,97,0.4333,65.4,0.0,6.2
712,61726,ZCTA5 61726,2569,59046,2479,61,0.4128,64.8,0.8,7.3
713,61727,ZCTA5 61727,9956,55916,9056,76,0.4114,67.7,6.2,10.0
714,61728,ZCTA5 61728,1197,57458,1148,3,0.4538,63.3,5.5,3.2
715,61729,ZCTA5 61729,1104,74141,1084,0,0.5064,64.5,4.6,0.9
716,61730,ZCTA5 61730,303,59875,296,7,0.3300,71.5,10.9,4.4
717,61731,ZCTA5 61731,144,110833,144,0,0.2367,69.7,0.0,0.0
718,61732,ZCTA5 61732,2157,80750,2069,7,0.3301,67.9,0.0,0.8
719,61733,ZCTA5 61733,947,69000,945,0,0.5436,71.2,10.3,1.5
720,61734,ZCTA5 61734,2692,56607,2664,6,0.3824,63.0,1.7,6.1
721,61735,ZCTA5 61735,513,53333,420,0,0.5177,63.4,9.5,19.6
722,61736,ZCTA5 61736,1766,87500,1708,12,0.3491,68.6,11.2,3.0
723,61737,ZCTA5 61737,571,70000,554,4,0.3420,79.9,0.0,8.7
724,61738,ZCTA5 61738,4392,67750,4202,67,0.4298,69.7,1.7,9.0
725,61739,ZCTA5 61739,4692,49688,4641,0,0.4525,70.0,5.1,7.4
726,61740,ZCTA5 61740,1613,50885,1555,11,0.5297,60.4,1.3,6.4
727,61741,ZCTA5 61741,1634,66923,1609,0,0.3986,68.0,1.3,4.7
728,61742,ZCTA5 61742,1190,97500,1166,5,0.3575,72.2,1.7,0.0
729,61743,ZCTA5 61743,200,65972,193,0,0.3325,75.9,0.0,5.5
730,61744,ZCTA5 61744,1789,71250,1684,53,0.3766,63.5,2.8,5.2
731,61745,ZCTA5 61745,4389,78235,4178,40,0.3634,68.9,1.0,8.3
732,61747,ZCTA5 61747,1482,75313,1468,5,0.4160,62.1,1.6,1.1
733,61748,ZCTA5 61748,2805,79408,2743,12,0.3814,68.5,0.0,5.2
734,61749,ZCTA5 61749,494,54226,476,0,0.3166,52.7,0.0,6.3
735,61750,ZCTA5 61750,160,55707,130,0,0.2840,93.7,0.0,32.0
736,61751,ZCTA5 61751,150,62000,150,0,0.2139,84.7,0.0,0.0
737,61752,ZCTA5 61752,4410,67361,4380,12,0.3783,65.0,4.1,4.6
738,61753,ZCTA5 61753,3194,75682,3139,19,0.4857,65.4,8.6,7.3
739,61754,ZCTA5 61754,1093,68011,1070,0,0.3835,68.4,10.3,3.7
740,61755,ZCTA5 61755,4711,77656,4665,18,0.3408,68.7,3.5,3.1
741,61756,ZCTA5 61756,2351,64697,2107,11,0.3700,66.8,1.8,3.1
742,61759,ZCTA5 61759,1642,53917,1635,0,0.4512,62.5,4.0,7.5
743,61760,ZCTA5 61760,2492,58750,2428,10,0.3492,66.6,4.6,2.1
744,61761,ZCTA5 61761,54819,56461,45182,5276,0.4646,67.2,3.6,6.9
745,61764,ZCTA5 61764,14600,50859,12977,1252,0.4488,50.5,4.7,12.2
746,61769,ZCTA5 61769,662,67656,565,0,0.3663,66.9,8.0,7.3
747,61770,ZCTA5 61770,1111,61250,1098,0,0.3267,68.7,2.1,6.2
748,61771,ZCTA5 61771,885,67670,869,0,0.3716,64.0,10.6,3.2
749,61772,ZCTA5 61772,322,52083,322,0,0.2988,55.6,17.6,0.0
750,61773,ZCTA5 61773,460,48958,457,0,0.3536,57.6,3.4,9.5
751,61774,ZCTA5 61774,1141,71417,1098,0,0.3002,68.2,5.2,3.4
752,61775,ZCTA5 61775,384,66250,382,0,0.3341,69.9,0.0,1.0
753,61776,ZCTA5 61776,1440,83750,1429,2,0.3249,71.2,4.1,0.5
754,61777,ZCTA5 61777,764,53750,634,0,0.3605,67.9,3.2,11.4
755,61778,ZCTA5 61778,725,56458,722,0,0.3528,67.5,1.7,16.2
756,61801,ZCTA5 61801,31108,30540,18338,4203,0.5810,54.5,5.7,11.7
757,61802,ZCTA5 61802,19187,44719,13343,3773,0.4865,64.5,5.2,15.2
758,61810,ZCTA5 61810,324,51250,318,4,0.3801,61.0,6.3,8.0
759,61811,ZCTA5 61811,589,51964,579,0,0.3269,58.0,1.0,12.8
760,61812,ZCTA5 61812,476,56875,459,0,0.4594,73.2,5.0,10.6
761,61813,ZCTA5 61813,1961,54531,1762,29,0.4527,67.0,1.1,5.8
762,61814,ZCTA5 61814,1127,60288,1113,0,0.3791,62.2,5.9,8.3
763,61815,ZCTA5 61815,251,59375,250,0,0.3820,62.9,2.1,17.6
764,61816,ZCTA5 61816,467,61875,462,1,0.4440,63.8,1.3,12.8
765,61817,ZCTA5 61817,2591,53944,2581,0,0.3582,58.1,16.6,3.8
766,61818,ZCTA5 61818,1637,55250,1542,12,0.3969,67.1,6.2,3.1
767,61820,ZCTA5 61820,37694,22762,24900,5626,0.5941,54.5,8.8,18.7
768,61821,ZCTA5 61821,30777,53083,20847,7257,0.4819,70.5,7.4,12.6
769,61822,ZCTA5 61822,24785,82842,17258,2665,0.4596,68.9,3.2,2.2
770,61830,ZCTA5 61830,344,51458,262,10,0.3237,69.3,14.5,0.0
771,61831,ZCTA5 61831,147,53304,137,0,0.3832,64.5,0.0,0.0
772,61832,ZCTA5 61832,35222,37404,23978,9580,0.4588,54.7,8.1,22.0
773,61833,ZCTA5 61833,2253,40839,2185,0,0.4848,54.9,4.2,11.4
774,61834,ZCTA5 61834,8944,61250,7658,1179,0.3915,46.7,1.8,4.8
775,61839,ZCTA5 61839,718,60536,670,0,0.4406,70.1,7.6,10.6
776,61840,ZCTA5 61840,913,61486,913,0,0.3347,57.9,0.0,7.2
777,61841,ZCTA5 61841,1298,56705,1290,5,0.3779,60.2,0.0,2.3
778,61842,ZCTA5 61842,2627,52898,2355,0,0.3931,63.7,2.9,7.1
779,61843,ZCTA5 61843,2254,58676,2201,7,0.3975,67.1,0.0,3.6
780,61844,ZCTA5 61844,880,65446,863,0,0.4365,64.2,21.1,7.0
781,61845,ZCTA5 61845,356,71667,356,0,0.3119,72.4,0.0,0.0
782,61846,ZCTA5 61846,5081,42925,4924,79,0.4039,52.7,3.6,13.1
783,61847,ZCTA5 61847,1216,72692,1193,22,0.3543,63.6,0.0,4.6
784,61848,ZCTA5 61848,260,60833,260,0,0.3347,56.9,3.6,12.8
785,61849,ZCTA5 61849,1909,64950,1908,0,0.4124,69.0,2.5,7.3
786,61850,ZCTA5 61850,462,51964,454,2,0.3067,64.6,2.0,7.6
787,61851,ZCTA5 61851,312,61094,309,0,0.4179,65.1,21.3,8.0
788,61852,ZCTA5 61852,219,44219,213,0,0.4639,52.8,8.3,9.3
789,61853,ZCTA5 61853,14054,83875,13413,277,0.3952,73.5,5.0,3.1
790,61854,ZCTA5 61854,1186,57656,1077,0,0.3690,73.6,9.7,3.5
791,61855,ZCTA5 61855,78,-,78,0,0.2781,40.7,0.0,0.0
792,61856,ZCTA5 61856,7595,78199,7176,113,0.3831,69.2,0.0,2.9
793,61857,ZCTA5 61857,232,31875,232,0,0.3983,60.3,7.0,7.7
794,61858,ZCTA5 61858,2920,57917,2842,17,0.3632,63.8,2.7,6.3
795,61859,ZCTA5 61859,1236,66071,1215,0,0.4240,67.8,1.8,1.2
796,61862,ZCTA5 61862,473,67868,452,4,0.3626,72.9,4.6,0.0
797,61863,ZCTA5 61863,775,71000,673,2,0.3103,68.5,2.2,3.9
798,61864,ZCTA5 61864,1698,78523,1684,0,0.3760,73.5,0.0,3.0
799,61865,ZCTA5 61865,1403,53026,1377,4,0.3720,65.0,7.7,6.7
800,61866,ZCTA5 61866,14281,44954,10228,2743,0.4519,62.6,3.3,16.1
801,61870,ZCTA5 61870,1233,49250,1204,0,0.4532,67.3,2.3,7.7
802,61871,ZCTA5 61871,298,70781,297,0,0.3278,63.0,2.6,4.5
803,61872,ZCTA5 61872,1010,70938,1006,0,0.4540,56.1,1.1,1.3
804,61873,ZCTA5 61873,6613,84557,6446,2,0.3300,72.3,0.0,3.9
805,61874,ZCTA5 61874,8220,64615,5837,452,0.4554,59.4,2.1,8.9
806,61875,ZCTA5 61875,763,76641,751,0,0.4028,79.3,5.6,17.3
807,61876,ZCTA5 61876,794,42000,794,0,0.4197,57.5,8.2,11.0
808,61877,ZCTA5 61877,1931,67734,1887,28,0.3741,70.7,0.0,2.5
809,61878,ZCTA5 61878,1335,52098,1295,27,0.3635,69.2,0.0,6.3
810,61880,ZCTA5 61880,3603,77448,3428,89,0.3735,72.6,1.3,11.6
811,61882,ZCTA5 61882,739,55341,662,0,0.3964,61.0,8.9,12.7
812,61883,ZCTA5 61883,4244,44342,3958,56,0.4284,57.8,7.8,11.3
813,61884,ZCTA5 61884,1185,86875,1169,7,0.3372,70.7,5.4,0.0
814,61910,ZCTA5 61910,4122,52454,3853,10,0.3761,69.3,6.5,8.9
815,61911,ZCTA5 61911,4942,56667,4896,3,0.4058,66.5,0.5,10.7
816,61912,ZCTA5 61912,1193,60000,1186,0,0.3880,66.9,13.0,6.1
817,61913,ZCTA5 61913,1446,46917,1412,4,0.3882,60.9,2.2,5.1
818,61914,ZCTA5 61914,1989,52679,1989,0,0.3963,70.7,1.7,7.8
819,61917,ZCTA5 61917,682,66161,678,0,0.3443,68.2,0.0,8.2
820,61919,ZCTA5 61919,931,63269,931,0,0.3232,60.7,0.0,5.9
821,61920,ZCTA5 61920,24945,37347,21922,1610,0.5566,58.8,10.5,15.3
822,61924,ZCTA5 61924,2350,60938,2252,43,0.4111,58.0,2.6,6.5
823,61925,ZCTA5 61925,672,59813,664,0,0.3292,70.2,0.0,6.9
824,61928,ZCTA5 61928,683,36633,656,10,0.4253,54.3,1.8,5.5
825,61929,ZCTA5 61929,645,45000,608,0,0.5567,57.6,2.9,6.1
826,61930,ZCTA5 61930,682,52917,666,3,0.3438,61.4,0.9,9.8
827,61931,ZCTA5 61931,1182,53750,1171,1,0.3668,69.3,5.4,9.6
828,61932,ZCTA5 61932,430,41667,424,3,0.3991,64.9,4.3,14.4
829,61933,ZCTA5 61933,1012,39792,1012,0,0.4025,59.5,7.1,15.6
