GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
310M300US17700,17700,"Coffeyville, KS Micro Area",33463,*****,28487,340,1776,150,1039,188,344,18,54,63,323,346,1440,222,0,22,1440,222
310M300US17740,17740,"Coldwater, MI Micro Area",43543,*****,40880,249,1045,101,132,55,230,65,16,27,513,222,727,164,90,69,637,144
310M300US17780,17780,"College Station-Bryan, TX Metro Area",248554,*****,186915,1605,27730,492,1003,514,13034,283,101,59,12456,1630,7315,975,883,245,6432,942
310M300US17820,17820,"Colorado Springs, CO Metro Area",698595,*****,559248,2457,41615,1304,4579,676,18795,738,2798,255,32346,2400,39214,1867,6227,798,32987,1575
310M300US17860,17860,"Columbia, MO Metro Area",174589,*****,142131,622,14901,728,460,240,7419,506,211,47,1804,611,7663,923,384,202,7279,944
310M300US17900,17900,"Columbia, SC Metro Area",808377,*****,486443,1450,269161,1508,1615,292,16173,634,660,95,13630,1395,20695,1645,2407,448,18288,1493
310M300US17980,17980,"Columbus, GA-AL Metro Area",309979,*****,157132,1143,126005,913,1091,195,5893,400,511,135,7631,1124,11716,975,1937,499,9779,890
310M300US18020,18020,"Columbus, IN Metro Area",81024,*****,69237,459,1558,343,195,68,5066,160,64,64,3379,517,1525,301,218,128,1307,256
310M300US18060,18060,"Columbus, MS Micro Area",59558,*****,32099,128,25925,210,119,41,596,23,13,15,125,86,681,236,40,38,641,229
310M300US18100,18100,"Columbus, NE Micro Area",32875,*****,31395,385,144,72,107,56,205,71,4,7,655,362,365,126,42,46,323,124
310M300US18140,18140,"Columbus, OH Metro Area",2023695,*****,1550627,2085,305414,2071,3304,425,77475,1163,713,240,21768,1788,64394,2202,4423,738,59971,2018
310M300US18180,18180,"Concord, NH Micro Area",147958,*****,139920,228,1813,233,198,107,2628,261,0,27,502,204,2897,351,127,71,2770,327
310M300US18220,18220,"Connersville, IN Micro Area",23426,*****,22538,68,589,78,0,21,31,43,0,21,151,68,117,66,16,19,101,61
310M300US18260,18260,"Cookeville, TN Micro Area",109133,*****,103668,239,1951,190,226,156,1073,130,63,64,475,193,1677,297,286,142,1391,277
310M300US18300,18300,"Coos Bay, OR Micro Area",62921,*****,55605,446,738,364,1394,331,706,155,102,60,1257,416,3119,449,60,51,3059,444
310M300US18380,18380,"Cordele, GA Micro Area",23005,*****,12313,77,9931,232,0,24,282,41,49,58,75,77,355,225,0,24,355,225
310M300US18420,18420,"Corinth, MS Micro Area",37242,*****,31710,259,4374,254,33,50,107,65,0,27,310,227,708,266,36,56,672,256
310M300US18460,18460,"Cornelia, GA Micro Area",43878,*****,37877,763,1381,190,51,37,1029,80,92,138,2713,766,735,203,30,38,705,199
310M300US18500,18500,"Corning, NY Micro Area",97539,*****,92591,147,1604,163,137,56,1462,90,12,10,311,106,1422,199,94,46,1328,191
310M300US18580,18580,"Corpus Christi, TX Metro Area",450183,*****,401396,1891,15122,412,1991,375,8223,325,245,71,14293,1562,8913,998,2933,697,5980,678
310M300US18620,18620,"Corsicana, TX Micro Area",48239,*****,36497,946,6439,222,919,417,302,62,498,44,2593,791,991,289,133,143,858,235
310M300US18660,18660,"Cortland, NY Micro Area",48334,*****,45776,155,869,214,83,51,392,156,6,9,258,151,950,247,18,31,932,240
310M300US18700,18700,"Corvallis, OR Metro Area",88249,*****,76444,345,881,205,457,138,5857,280,232,56,1170,307,3208,439,139,85,3069,431
310M300US18740,18740,"Coshocton, OH Micro Area",36602,*****,35445,62,396,87,74,41,123,49,0,24,49,50,515,105,64,58,451,105
310M300US18780,18780,"Craig, CO Micro Area",13056,*****,12386,106,126,86,78,55,23,30,77,70,124,82,242,89,45,47,197,74
310M300US18820,18820,"Crawfordsville, IN Micro Area",38288,*****,36742,201,308,84,72,49,295,65,7,12,96,113,768,238,188,195,580,141
310M300US18860,18860,"Crescent City, CA Micro Area",27442,*****,21073,323,493,113,2158,316,776,189,21,29,909,283,2012,395,135,94,1877,395
310M300US18880,18880,"Crestview-Fort Walton Beach-Destin, FL Metro Area",261048,*****,210520,1012,22435,567,1576,375,6578,406,432,204,9065,1064,10442,899,752,214,9690,898
310M300US18900,18900,"Crossville, TN Micro Area",58178,*****,56417,193,383,78,345,130,336,73,0,29,111,83,586,181,113,94,473,156
310M300US18980,18980,"Cullman, AL Micro Area",81703,*****,78056,339,948,140,350,182,528,27,3,5,723,310,1095,256,104,91,991,238
310M300US19000,19000,"Cullowhee, NC Micro Area",41725,*****,34877,304,1231,371,3512,360,414,44,0,25,621,228,1070,325,93,78,977,301
310M300US19060,19060,"Cumberland, MD-WV Metro Area",100012,*****,90195,136,6836,272,124,52,695,118,24,23,279,97,1859,343,103,63,1756,323
310M300US19100,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",7104415,*****,4930563,9827,1093212,3797,30614,1840,448434,2154,7130,497,385894,8122,208568,5747,40129,2510,168439,5139
310M300US19140,19140,"Dalton, GA Metro Area",143407,*****,130069,1240,4483,232,655,509,1582,122,0,30,4756,1119,1862,403,428,251,1434,275
310M300US19180,19180,"Danville, IL Metro Area",79207,*****,65453,341,11075,229,208,61,691,88,22,32,605,299,1153,265,71,78,1082,260
310M300US19220,19220,"Danville, KY Micro Area",54186,*****,49463,175,2661,214,112,61,237,53,5,8,314,145,1394,263,226,134,1168,219
310M300US19260,19260,"Danville, VA Micro Area",103881,*****,65593,331,33727,421,73,44,638,121,39,36,1484,302,2327,405,166,108,2161,409
310M300US19300,19300,"Daphne-Fairhope-Foley, AL Metro Area",203360,*****,175961,707,19414,308,1668,414,1405,463,0,27,1591,581,3321,770,957,508,2364,564
310M300US19340,19340,"Davenport-Moline-Rock Island, IA-IL Metro Area",383141,*****,328504,990,29092,757,1081,203,8207,311,71,25,5846,853,10340,973,1610,355,8730,883
310M300US19380,19380,"Dayton, OH Metro Area",800893,*****,629408,844,123367,1153,1598,321,16972,582,242,79,5159,816,24147,1234,1164,298,22983,1240
310M300US19420,19420,"Dayton, TN Micro Area",32478,*****,30751,178,720,107,91,101,130,45,0,26,162,134,624,153,82,72,542,133
310M300US19460,19460,"Decatur, AL Metro Area",152445,*****,122726,833,18591,383,2399,423,797,152,55,80,3519,798,4358,605,238,197,4120,583
310M300US19500,19500,"Decatur, IL Metro Area",107587,*****,84088,222,15021,758,357,169,1223,166,5,9,569,196,6324,741,69,60,6255,739
310M300US19540,19540,"Decatur, IN Micro Area",35018,*****,33935,183,328,87,16,26,132,26,0,24,458,181,149,97,42,40,107,92
310M300US19580,19580,"Defiance, OH Micro Area",38311,*****,34866,304,741,134,147,55,153,72,8,13,1386,308,1010,260,418,201,592,191
310M300US19620,19620,"Del Rio, TX Micro Area",48976,*****,45317,569,664,218,119,86,283,55,48,46,1819,454,726,272,196,199,530,204
310M300US19660,19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",623675,*****,516847,1941,66000,1114,2321,427,11983,539,213,93,13342,1730,12969,1097,1666,334,11303,1020
310M300US19700,19700,"Deming, NM Micro Area",24319,*****,22268,398,329,32,258,101,130,56,0,22,968,329,366,204,213,189,153,109
310M300US19740,19740,"Denver-Aurora-Lakewood, CO Metro Area",2798684,*****,2285334,4676,156781,1911,22068,1364,113426,1284,3644,380,120508,4059,96923,3241,17280,1345,79643,2696
310M300US19760,19760,"DeRidder, LA Micro Area",36598,*****,30377,117,4637,139,276,126,140,49,6,10,163,97,999,167,26,17,973,164
310M300US19780,19780,"Des Moines-West Des Moines, IA Metro Area",623113,*****,541858,1324,31535,724,1551,436,24205,614,643,185,7569,1091,15752,1154,1322,383,14430,1068
310M300US19820,19820,"Detroit-Warren-Dearborn, MI Metro Area",4304613,*****,3000249,2636,960838,2419,12527,807,174968,1601,1163,217,50546,2558,104322,2908,8563,883,95759,2896
310M300US19860,19860,"Dickinson, ND Micro Area",30316,*****,27943,254,538,177,363,139,370,78,7,9,297,277,798,219,42,65,756,207
310M300US19940,19940,"Dixon, IL Micro Area",34670,*****,31494,199,1814,108,62,27,235,48,52,48,409,161,604,151,169,95,435,117
310M300US19980,19980,"Dodge City, KS Micro Area",34658,*****,30893,491,787,136,184,111,493,96,8,14,1582,475,711,225,280,215,431,193
